Year;Campaign;Catalog;Category;Category 2;Physical Page;Physical Page 2;Display Page;Display Page 2;ID;ID 2;SKU;Title;Title 2;Variant;Price;Price Standard;Description;Images;Shade File;Unit Volume;Unit Measure
2025;06;katalog;SET;SET;10;10;6;6;="51193";="51193";="51193";"SADA ZPEVŇUJÍCÍ PÉČE  A OBNOVUJÍCÍHO SÉRA";"SADA ZPEVŇUJÍCÍ PÉČE  A OBNOVUJÍCÍHO SÉRA";"";799.90;1189.70;"• Obnovující Anew Power sérum | 30 ml |
• Denní zpevňující krém Anew Ulti mate  SPF 20 s Proti nolem™ | 50 ml |
• Noční zpevňující krém Anew Ulti mate  s Protinolem™ | 50 ml ";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804086.jpg?v=1747744097";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;104;104;100;100;="51631";="51631";="51631";"ROZJASŇUJÍCÍ TRIO";"ROZJASŇUJÍCÍ TRIO";"";499.90;959.70;"• Rozjasňující oční krém  s C komplexem | 15 ml |
• Rozjasňující sérum  s vitaminem C | 30 ml |
• Denní krém SPF 50  s vitaminem C | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804098.jpg?v=1747744097";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;169;169;165;165;="51581";="51581";="51581";"SADA DEPILAČNÍCH KRÉMŮ";"SADA DEPILAČNÍCH KRÉMŮ";"";199.90;289.80;"• Na tělo l 100 ml l
• Na obličej l 15 ml l";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804114.jpg?v=1747744097";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;170;170;166;166;="51417";="51417";="51417";"DĚTSKÁ SADA SE SVĚŽÍ VŮNÍ";"DĚTSKÁ SADA SE SVĚŽÍ VŮNÍ";"";299.90;439.70;"• Sprchový gel na tělo a vlasy se svěží vůní | 200 ml |
• Gel na vlasy | 50 ml |
• Tělový sprej | 150 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804225.jpg?v=1747835230";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;177;177;173;173;="50005";="50005";="50005";"VYŽIVUJÍCÍ SADA  S BAMBUCKÝM  MÁSLEM";"VYŽIVUJÍCÍ SADA  S BAMBUCKÝM  MÁSLEM";"";239.90;349.70;"• Maska na ruce  a nohy | 100 ml |
• Krém na ruce | 30 ml |
• Krém na ruce, nohy a lokty | 75 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804227.jpg?v=1747835230";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;113;113;109;109;="58206";="58206";="58206";"SADA NOČNÍHO GELU  A MICELÁRNÍ VODY";"SADA NOČNÍHO GELU  A MICELÁRNÍ VODY";"";249.90;349.80;"• Micelární čisti cí pleťová  voda s olejem z konopných  semínek | 400 ml |
• Obnovující noční gel s výtažkem ze zeleného čaje | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9804613.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;129;129;125;125;="65847";="65847";="65847";"SADA INDIVIDUAL BLUE";"SADA INDIVIDUAL BLUE";"";329.90;429.80;"• Sprchový gel na tělo a vlasy | 250 ml |
• EDT | 100 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805624.jpg?v=1747835230";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;11;11;7;7;="50187";="50187";="50187";"SADA LIFTINGOVÉ PÉČE  A OBNOVUJÍCÍHO SÉRA";"SADA LIFTINGOVÉ PÉČE  A OBNOVUJÍCÍHO SÉRA";"";799.90;1189.70;"• Denní liftingový krém  Anew Plati num SPF 20  s Protinolem™ | 50 ml |
• Noční liftingový krém  Anew Platinum  s Protinolem™ | 50 ml 
• Obnovující Anew Power sérum | 30 ml ";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805734.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;120;120;116;116;="58297";="58297";="58297";"SADA FULL SPEED QUANTUM";"SADA FULL SPEED QUANTUM";"";549.90;679.80;"• EDT | 100 ml | • Sprchový gel na tělo a vlasy | 250 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805849.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;9;9;5;5;="58289";="58289";="58289";"TRIO ANEW POWER";"TRIO ANEW POWER";"";899.90;1369.70;"• Obnovující sérum | 30 ml |
• Ochranný krém SPF 15 | 50 ml |
• Obnovující krém | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805863.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;53;53;49;49;="58321";="58321";="58321";"Sada řasenky a micelární vody - Blackest Black";"Sada řasenky a micelární vody - Blackest Black";"Blackest Black";299.90;369.80;"• Micelární čisti cí pleťová voda | 400 ml |
• Řasenka Lash Genius Multitask & Multiply | 10 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805870.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;121;121;117;117;="58149";="58149";="58149";"SADA FULL SPEED SURFER";"SADA FULL SPEED SURFER";"";549.90;679.80;"• Sprchový gel na tělo a vlasy | 250 ml ";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9805871.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;53;53;49;49;="58362";="58362";="58362";"Sada řasenky a micelární vody - Modern Navy";"Sada řasenky a micelární vody - Modern Navy";"Modern Navy";299.90;369.80;"• Micelární čisti cí pleťová  voda | 400 ml |
• Řasenka Lash Genius  Multitask & Multiply | 10 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9806001.jpg?v=1747835230";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;;0;;;="51185";="51185";="51185";"2DÍLNÁ SADA S VŮNÍ POMERANČE A LISTU PELARGONIE";"2DÍLNÁ SADA S VŮNÍ POMERANČE A LISTU PELARGONIE";"";169.90;239.80;"• Tekuté mýdlo l 250 ml l
• Mléko na ruce l 250 ml l";"";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;83;83;79;79;="58248";="58248";="58248";"SADA PERFECT NONSENSE CHOCO TUBEROSE";"SADA PERFECT NONSENSE CHOCO TUBEROSE";"";449.90;529.80;"• EDP | 50 ml |
• Sprchový gel | 150 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9806969.jpg?v=1747744098";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;95;95;91;91;="58313";="58313";="58313";"SADA FAR AWAY SHINE";"SADA FAR AWAY SHINE";"";479.90;569.80;"• Tělové mléko | 125 ml |
• EDP | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9807012.jpg?v=1747744099";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;163;163;159;159;="66431";="66431";="66431";"SADA PÁNSKÉ PÉČE";"SADA PÁNSKÉ PÉČE";"";225.90;349.70;"• Šampon a kondicionér  v 1 | 200 ml |
• Gel na holení | 150 ml |
• Balzám po holení | 100 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9807250.jpg?v=1747744099";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;187;187;183;183;="51284";="51284";="51284";"VELKÁ DÁMSKÁ SADA";"VELKÁ DÁMSKÁ SADA";"";199.90;429.60;" • Pěna do koupele s vůní levandule a mošusu | 500 ml |
• Tekuté mýdlo s vůní levandule a mošusu | 250 ml |
• Krém na ruce s levandulí a heřmánkem | 30 ml |
• Zklidňující aromatický sprej na polštář s levandulí a heřmánkem | 100 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9808114.jpg?v=1747744099";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;186;186;182;182;="51243";="51243";="51243";"2DÍLNÁ DÁMSKÁ SADA";"2DÍLNÁ DÁMSKÁ SADA";"";145.90;229.80;"• Krémový sprchový gel s vůní kokosového mléka a maliny | 500 ml l
• Tělový sprej s vůní maliny a rybízového likéru | 100 ml ";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9808115.jpg?v=1747744099";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;10;10;6;6;="51227";="51227";="51227";"SADA VYPLŇUJÍCÍ PÉČE A OBNOVUJÍCÍHO SÉRA";"SADA VYPLŇUJÍCÍ PÉČE A OBNOVUJÍCÍHO SÉRA";"";799.90;1189.70;"• Noční vyplňující krém Anew Reversalist s Protinolem™ | 50 ml |
• Denní vyplňující krém Anew Reversalist SPF 20 s Proti nolem™ | 50 ml |
• Obnovující Anew Power sérum | 30 ml | ";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/65037.jpg?v=1747664136";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;123;123;119;119;="59741";="59741";="59741";"SADA FULL SPEED";"SADA FULL SPEED";"";579.90;755.70;"• EDT | 100 ml |
• Sprchový gel na tělo a vlasy | 250 ml |
• Kuličkový deodorant anti perspirant | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9808744.jpg?v=1747744100";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;86;86;82;82;="58487";="58487";="58487";"SADA TTA TODAY FOR HER";"SADA TTA TODAY FOR HER";"";599.90;819.80;"• EDP | 50 ml |
• EDP minibalení | 10 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9808779.jpg?v=1747835230";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;79;79;75;75;="58412";="58412";="58412";"SADA PERFECT  NONSENSE BAMBOOZIE  COCKTAIL";"SADA PERFECT  NONSENSE BAMBOOZIE  COCKTAIL";"";449.90;529.80;"• EDP | 50 ml |
• Sprchový gel | 150 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_9808856.jpg?v=1747744100";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
2025;06;katalog;SET;SET;8;8;4;4;="65664";="65664";="65664";"DUO ANEW POWER";"DUO ANEW POWER";"";649.90;919.80;"• Obnovující sérum | 30 ml |
• Ochranný krém SPF 15 | 50 ml |";"https://media.ce.avon.digital-catalogue.com/cz/c06_cz_2025/prod_S9808882.jpg?v=1747664162";"https://media.ce.avon.digital-catalogue.com/default-shade.jpg?v=1621934601";="";
